ID,Title,Date_Display,Year_Numeric,Level,Source,Description
Q323,"Big Bang",13787000000 BCE,-13787000000,2,WIKIDATA,"hypothetical begin of the Universe through expansion out of an infinitely small and infinitely dense state"
earth-forms,"Formation of Earth",4.5 Billion Years Ago,-4500000000,1,CURATED,"Gravity pulls swirling gas and dust into the third planet from the sun. Earth begins as a molten inferno, eventually cooling to form the solid crust, atmosphere, and vast oceans that would eventually cradle life."
life-begins,"The Spark of Life",3.5 Billion Years Ago,-3500000000,1,CURATED,"Deep in fossilized hydrothermal vents, simple prokaryotes begin a multibillion-year journey. This transition from chemistry to biology marks the most profound shift in the history of the planet."
dinosaurs,"The Age of Dinosaurs",230 – 66 Million BCE,-230000000,1,CURATED,"From the Triassic to the Cretaceous, dinosaurs were the undisputed masters of Earth. Their vast reign ended in fire and dust with the Chicxulub asteroid impact, clearing the path for the rise of mammals."
homo-sapiens,"Rise of Homo Sapiens",300,000 BCE,-300000,1,CURATED,"Equipped with cognitive capacity for language, art, and complex tools, Homo sapiens begin migrating across the planet, eventually outlasting all other hominid species through innovation and social structure."
agriculture,"Agricultural Revolution",10,000 BCE,-10000,1,CURATED,"In the Fertile Crescent, humans begin domesticating plants and animals. This Neolithic shift leads to permanent settlements, surplus food, and the eventual rise of specialized labor and social hierarchies."
Q333,"astronomy",8000 BCE,-8000,1,WIKIDATA,"natural science studying celestial objects and phenomena in the cosmos"
egyptians,"Empire of the Nile",3100 BCE,-3100,1,CURATED,"Pharaoh Narmer unites the Nile Valley, initiating a civilization that would build pyramids, develop hieroglyphics, and endure for three millennia."
Q10261,"Pythagoras",582 BCE,-582,1,WIKIDATA,"Greek philosopher and mathematician (c. 570 – c. 495 BC)"
Q9333,"Laozi",579 BCE,-579,1,WIKIDATA,"6th-century BC semi-legendary Chinese philosopher, founder of Taoism"
Q4604,"Confucius",550 BCE,-550,1,WIKIDATA,"5th-century BCE Chinese philosopher and politician"
Q9441,"The Buddha",500 BCE,-500,1,WIKIDATA,"Indian philosopher and the founder of Buddhism (623 or 563 BCE – 543 or 483 BCE)"
Q7235,"Sophocles",495 BCE,-495,1,WIKIDATA,"ancient Greek playwright"
Q913,"Socrates",469 BCE,-469,1,WIKIDATA,"5th-century BCE Greek philosopher"
Q859,"Plato",428 BCE,-428,1,WIKIDATA,"4th-century BCE Greek philosopher"
Q868,"Aristotle",383 BCE,-383,1,WIKIDATA,"4th-century BCE Classical Greek philosopher and polymath"
Q8409,"Alexander the Great",355 BCE,-355,1,WIKIDATA,"king of Macedonia and conqueror of Achaemenid Persia (356–323 BC)"
Q8747,"Euclid",333 BCE,-333,1,WIKIDATA,"ancient Greek mathematician (fl. 300 BC)"
Q8739,"Archimedes",286 BCE,-286,1,WIKIDATA,"Greek mathematician and physicist (c. 287 – c. 212 BC)"
Q7192,"Qin Shi Huang",258 BCE,-258,1,WIKIDATA,"first emperor of Qin Dynasty"
Q1541,"Cicero",106 BCE,-106,1,WIKIDATA,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)"
Q1048,"Julius Caesar",99 BCE,-99,1,WIKIDATA,"Roman general and dictator"
Q1405,"Augustus",62 BCE,-62,1,WIKIDATA,"first emperor of the Roman Empire and founder of the Julio-Claudian dynasty"
christ-birth,"The Life of Jesus of Nazareth",c. 4 BCE,-4,1,CURATED,"Regardless of belief, the life and teachings of Jesus of Nazareth fundamentally reshaped the Western world"
Q185117,"Justin Martyr",0100,100,3,WIKIDATA,"2nd century CE Christian apologist and martyr"
Q8018,"Augustine of Hippo",0354,354,1,WIKIDATA,"Christian theologian, philosopher, and saint (354–430)"
gunpowder,"Discovery of Gunpowder",c. 850,850,1,CURATED,"Taoist alchemists in China mixed saltpeter, sulfur, and charcoal while seeking an elixir of life. The resulting explosive changed the nature of global conflict and the power of empires."
Q8011,"Avicenna",0980,980,1,WIKIDATA,"Persian polymath, physician and philosopher (c. 980–1037)"
Q9438,"Thomas Aquinas",1225,1225,1,WIKIDATA,"Italian Dominican friar, philosopher, Catholic priest, and Doctor of the Church (1225–1274)"
Q1067,"Q1067",1265,1265,1,WIKIDATA,"Florentine poet, writer, and philosopher (c. 1265–1321)"
Q4692,"Renaissance",1400,1400,1,WIKIDATA,"cultural movement that spanned the period roughly from the 14th to the 17th century"
Q762,"Leonardo da Vinci",1452,1452,1,WIKIDATA,"Italian Renaissance polymath (1452−1519)"
Q1399,"Niccolò Machiavelli",1469,1469,1,WIKIDATA,"Italian diplomat and political and military theorist (1469–1527)"
Q5580,"Albrecht Dürer",1471,1471,1,WIKIDATA,"German painter, printmaker, mathematician, and theorist (1471–1528)"
Q619,"Nicolaus Copernicus",1473,1473,1,WIKIDATA,"Polish mathematician and astronomer (1473–1543)"
Q9554,"Martin Luther",1483,1483,1,WIKIDATA,"German priest and theologian (1483–1546)"
Q180897,"Treaty of Tordesillas",1494,1494,3,WIKIDATA,"treaty dividing territory between Portugal and Spain"
Q37388,"Francis Bacon",1561,1561,1,WIKIDATA,"English philosopher and statesman (1561–1626)"
Q307,"Galileo Galilei",1564,1564,1,WIKIDATA,"Italian polymath (1564–1642)"
Q963303,"Union of Lublin",1569,1569,3,WIKIDATA,"1569 union of Poland and Lithuania"
Q8963,"Johannes Kepler",1572,1572,1,WIKIDATA,"German mathematician and astronomer (1571–1630)"
Q9191,"René Descartes",1596,1596,1,WIKIDATA,"French philosopher, mathematician, and scientist (1596–1650)"
Q1290,"Blaise Pascal",1623,1623,1,WIKIDATA,"French mathematician, physicist, inventor, writer, and Christian philosopher (1623–1662)"
Q9353,"John Locke",1632,1632,1,WIKIDATA,"English philosopher and physician (1632–1704)"
Q7742,"Louis XIV of France",1638,1638,1,WIKIDATA,"King of France and of Navarre from 1643 to 1715 (1638–1715)"
Q935,"Isaac Newton",1643,1643,1,WIKIDATA,"English mathematician and physicist (1642–1727)"
Q9047,"Gottfried Wilhelm Leibniz",1646,1646,1,WIKIDATA,"German mathematician and philosopher (1646–1716)"
Q133100,"Innocent XIII",1655,1655,3,WIKIDATA,"pope of the Catholic Church from 1721 to 1724"
Q9068,"Voltaire",1694,1694,1,WIKIDATA,"French writer, historian and philosopher (1694–1778)"
Q34969,"Benjamin Franklin",1706,1706,1,WIKIDATA,"American polymath and statesman (1706–1790)"
Q1043,"Carl Linnaeus",1707,1707,1,WIKIDATA,"Swedish botanist, physician, and zoologist (1707–1778)"
Q7604,"Leonhard Euler",1707,1707,1,WIKIDATA,"Swiss mathematician, physicist, and engineer (1707–1783)"
Q6527,"Jean-Jacques Rousseau",1712,1712,1,WIKIDATA,"Genevan philosopher, writer, and composer (1712–1778)"
Q9381,"Adam Smith",1723,1723,1,WIKIDATA,"Scottish moral philosopher and political economist (1723–1790)"
Q9312,"Immanuel Kant",1724,1724,1,WIKIDATA,"German philosopher (1724–1804)"
Q23,"George Washington",1732,1732,1,WIKIDATA,"Founding Father and first U.S. president; soldier and slave owner (1732–1799)"
Q11806,"John Adams",1735,1735,1,WIKIDATA,"Founding Father, U.S. president from 1797 to 1801"
Q11812,"Thomas Jefferson",1743,1743,1,WIKIDATA,"president of the United States from 1801 to 1809 (1743–1826)"
Q5879,"Johann Wolfgang von Goethe",1749,1749,1,WIKIDATA,"German writer, artist, natural scientist and politician (1749–1832)"
Q22670,"Friedrich Schiller",1759,1759,1,WIKIDATA,"German playwright, poet, philosopher and historian (1759–1805)"
Q517,"Napoleon",1769,1769,1,WIKIDATA,"French military leader, French Emperor 1804–1814 and again in 1815 (1769–1821)"
Q9235,"Georg Wilhelm Friedrich Hegel",1770,1770,1,WIKIDATA,"German philosopher and theologian (1770–1831)"
independence,"Declaration of Independence",July 4, 1776,1776,1,CURATED,"Drafted primarily by Thomas Jefferson, the declaration stated the philosophical and practical reasons for the American Revolution, asserting that "
Q6722,"Carl Friedrich Gauss",1777,1777,1,WIKIDATA,"German mathematician and physicist (1777–1855)"
constitition,"U.S. Constitution Signed",September 17, 1787,1787,1,CURATED,"The framers created a system of checks and balances that became a blueprint for modern representative democracy."
Q5679,"Lord Byron",1788,1788,1,WIKIDATA,"English Romantic poet and lyricist (1788–1824)"
Q6534,"French Revolution",1789,1789,1,WIKIDATA,"revolution in France from 1789 to 1799"
Q535,"Victor Hugo",1802,1802,1,WIKIDATA,"French novelist, poet, dramatist and politician (1802–1885)"
Q91,"Abraham Lincoln",1809,1809,1,WIKIDATA,"president of the United States from 1861 to 1865 (1809–1865)"
Q1035,"Charles Darwin",1809,1809,1,WIKIDATA,"English naturalist and biologist (1809–1882)"
Q8442,"Otto von Bismarck",1815,1815,1,WIKIDATA,"German statesman and Chancellor (1815-1898)"
Q9061,"Karl Marx",1818,1818,1,WIKIDATA,"German-born philosopher (1818–1883)"
Q34787,"Friedrich Engels",1820,1820,1,WIKIDATA,"German philosopher, sociologist and economist (1820–1895)"
Q991,"Fyodor Dostoyevsky",1821,1821,1,WIKIDATA,"Russian novelist (1821–1881)"
Q529,"Louis Pasteur",1822,1822,1,WIKIDATA,"French chemist and microbiologist (1822-1895)"
Q7243,"Leo Tolstoy",1828,1828,1,WIKIDATA,"Russian author (1828–1910)"
Q23810,"Alfred Nobel",1833,1833,1,WIKIDATA,"Swedish chemist and inventor (1833–1896)"
Q7315,"Pyotr Ilyich Tchaikovsky",1840,1840,1,WIKIDATA,"Russian composer (1840–1893)"
Q9358,"Friedrich Nietzsche",1844,1844,1,WIKIDATA,"German philosopher (1844–1900)"
Q8743,"Thomas Edison",1847,1847,1,WIKIDATA,"American inventor and businessman (1847–1931)"
Q34296,"Woodrow Wilson",1856,1856,1,WIKIDATA,"president of the United States from 1913 to 1921 (1856–1924)"
Q33866,"Theodore Roosevelt",1858,1858,1,WIKIDATA,"26th President of the United States from 1901 to 1909 (1858–1919)"
Q9021,"Max Planck",1858,1858,1,WIKIDATA,"German theoretical physicist (1858–1947)"
Q7241,"Rabindranath Tagore",1861,1861,1,WIKIDATA,"Bengali poet, philosopher and polymath (1861–1941)"
Q8768,"Henry Ford",1863,1863,1,WIKIDATA,"American business magnate (1863–1947)"
Q309029,"Alaska Purchase",1867,1867,3,WIKIDATA,"1867 sale of Alaska to the USA by Russia"
Q7186,"Marie Curie",1867,1867,1,WIKIDATA,"Polish-French physicist and chemist (1867–1934)"
Q12706,"Maxim Gorky",1868,1868,1,WIKIDATA,"Russian and Soviet writer (1868–1936)"
Q1001,"Mahatma Gandhi",1869,1869,1,WIKIDATA,"Indian independence activist (1869–1948)"
Q1394,"Vladimir Lenin",1870,1870,1,WIKIDATA,"founding leader of the Soviet Union from 1922 to 1924 (1870–1924)"
Q7231,"Rosa Luxemburg",1871,1871,1,WIKIDATA,"Polish-German Marxist revolutionary (1871–1919)"
Q33760,"Bertrand Russell",1872,1872,1,WIKIDATA,"British philosopher and logician (1872–1970)"
Q8016,"Winston Churchill",1874,1874,1,WIKIDATA,"British statesman, soldier and writer (1874–1965)"
Q855,"Joseph Stalin",1878,1878,1,WIKIDATA,"leader of the Soviet Union from 1924 to 1953"
Q5152,"Mustafa Kemal Atatürk",1881,1881,1,WIKIDATA,"founding father of the Republic of Turkey (1881–1938)"
Q103986,"Gerhard Dammann",1883,1883,3,WIKIDATA,"German actor (1883–1946)"
Q23559,"Benito Mussolini",1883,1883,1,WIKIDATA,"dictator of Italy from 1922 to 1945"
Q11613,"Harry S. Truman",1884,1884,1,WIKIDATA,"president of the United States from 1945 to 1953; politician (1884–1972)"
Q7085,"Niels Bohr",1885,1885,1,WIKIDATA,"Danish physicist (1885–1962)"
Q217398,"Berne Convention for the Protection of Literary and Artistic Works",1886,1886,3,WIKIDATA,"1880s international copyright treaty adopted by 160+ countries"
Q352,"Adolf Hitler",1889,1889,1,WIKIDATA,"dictator of Germany from 1933 to 1945, main instigator of World War II and leader of the Holocaust (1889–1945)"
Q1047,"Jawaharlal Nehru",1889,1889,1,WIKIDATA,"Prime Minister of India from 1947 to 1964"
Q2042,"Charles de Gaulle",1890,1890,1,WIKIDATA,"French general and statesman (1890–1970)"
Q9916,"Dwight D. Eisenhower",1890,1890,1,WIKIDATA,"president of the United States from 1953 to 1961 (1890–1969)"
Q892,"J. R. R. Tolkien",1892,1892,1,WIKIDATA,"English writer and philologist (1892–1973)"
Q5816,"Mao Zedong",1893,1893,1,WIKIDATA,"1st chairman of the Chinese Communist Party and founder of the People"
Q150229,"Boxer Rebellion",1899,1899,3,WIKIDATA,"anti-imperialist uprising which took place in China 1899-1901"
Q9364,"Jean-Paul Sartre",1905,1905,1,WIKIDATA,"French existentialist philosopher (1905–1980)"
Q177859,"Triple Entente",1907,1907,3,WIKIDATA,"early 20th century alliance between France, Russia and the United Kingdom"
Q7197,"Simone de Beauvoir",1908,1908,1,WIKIDATA,"French philosopher, social theorist and activist (1908–1986)"
Q9960,"Ronald Reagan",1911,1911,1,WIKIDATA,"president of the United States from 1981 to 1989 and actor (1911–2004)"
Q34670,"Albert Camus",1913,1913,1,WIKIDATA,"French philosopher, author, and journalist (1913–1960)"
Q9588,"Richard Nixon",1913,1913,1,WIKIDATA,"president of the United States from 1969 to 1974 (1913–1994)"
world-wars,"The World Wars",1914 – 1945,1914,1,CURATED,"Two global conflicts that reshaped borders, technology, and international law. WWI saw the end of old empires, while WWII ended in the nuclear age and the formation of the United Nations."
Q824165,"Treaty of London",1915,1915,3,WIKIDATA,"secret pact between the Triple Entente and Italy, signed in London on 26 April 1915"
Q211674,"Sykes–Picot Agreement",1916,1916,3,WIKIDATA,"secret agreement signed in 1916 between France and the United Kingdom providing for the division of the Middle East at the end of the First World War"
Q9696,"John F. Kennedy",1917,1917,1,WIKIDATA,"president of the United States from 1961 to 1963 (1917–1963)"
Q8023,"Nelson Mandela",1918,1918,1,WIKIDATA,"First President of South Africa and anti-apartheid activist (1918–2013)"
Q989,"John Paul II",1920,1920,1,WIKIDATA,"264th pope of the Catholic Church (1978–2005)"
Q23685,"Jimmy Carter",1924,1924,1,WIKIDATA,"president of the United States from 1977 to 1981 (1924–2024)"
Q23505,"George H. W. Bush",1924,1924,1,WIKIDATA,"president of the United States from 1989 to 1993 (1924–2018)"
Q7416,"Margaret Thatcher",1925,1925,1,WIKIDATA,"British stateswoman and prime minister (1925–2013)"
Q11256,"Fidel Castro",1926,1926,1,WIKIDATA,"Cuban politician and revolutionary (1926–2016)"
Q2494,"Benedict XVI",1927,1927,1,WIKIDATA,"265 th pope of the Catholic Church (2005–2013)"
Q205073,"Kellogg-Briand pact",1928,1928,3,WIKIDATA,"1928 international agreement"
Q9049,"Noam Chomsky",1928,1928,1,WIKIDATA,"American linguist and activist (born 1928)"
Q8027,"Martin Luther King Jr.",1929,1929,1,WIKIDATA,"American Baptist minister and civil rights leader (1929–1968)"
Q1615,"Neil Armstrong",1930,1930,1,WIKIDATA,"American astronaut and lunar explorer (1930–2012)"
Q30487,"Mikhail Gorbachev",1931,1931,1,WIKIDATA,"leader of the Soviet Union from 1985 to 1991 (1931–2022)"
Q7327,"Yuri Gagarin",1934,1934,1,WIKIDATA,"Soviet pilot and cosmonaut, first human in space (1934–1968)"
Q152195,"Anti-Comintern Pact",1936,1936,3,WIKIDATA,"pact between Nazi Germany and Japan prior to World War II"
Q450675,"Pope Francis",1936,1936,1,WIKIDATA,"266th pope of the Catholic Church (2013–2025)"
Q154255,"Munich agreement",1938,1938,2,WIKIDATA,"1938 cession of German-speaking Czechoslovakia to the German Reich"
Q190882,"Phoney War",1939,1939,3,WIKIDATA,"eight-month period at the start of World War II, during which there was only one limited military land operation on the Western Front"
Q153122,"Tripartite Pact",1940,1940,3,WIKIDATA,"treaty establishing the Axis Powers of World War Two"
Q12897,"Pelé",1940,1940,1,WIKIDATA,"Brazilian footballer (1940–2022)"
Q6279,"Joe Biden",1942,1942,1,WIKIDATA,"46th President of the United States (2021–2025)"
Q19878,"Muammar Gaddafi",1942,1942,1,WIKIDATA,"Leader of Libya (1969-2011)"
Q188532,"Bretton Woods system",1944,1944,3,WIKIDATA,"financial-economic agreement reached in 1944"
Q151187,"Potsdam Conference",1945,1945,3,WIKIDATA,"meeting of the Allied heads of state near the end of World War II"
Q22686,"Donald Trump",1946,1946,1,WIKIDATA,"President of the United States (2017–2021; since 2025)"
Q207,"George W. Bush",1946,1946,1,WIKIDATA,"President of the United States from 2001 to 2009"
Q1124,"Bill Clinton",1946,1946,1,WIKIDATA,"President of the United States from 1993 to 2001 (born 1946)"
Q194284,"General Agreement on Tariffs and Trade",1947,1947,3,WIKIDATA,"multilateral agreement regulating international trade"
Q6294,"Hillary Clinton",1947,1947,1,WIKIDATA,"American politician and diplomat (born 1947)"
Q7747,"Vladimir Putin",1952,1952,1,WIKIDATA,"2nd and 4th President of Russia (2000–2008, 2012–present), 7th and 11th Prime Minister of Russia (1999–2000, 2008–2012), Director of the Federal Security Service (1998–1999) and Deputy Mayor of Saint Petersburg (1994–1996)"
Q15031,"Xi Jinping",1953,1953,1,WIKIDATA,"General Secretary of the Chinese Communist Party since 2012 (born 1953)"
Q567,"Angela Merkel",1954,1954,1,WIKIDATA,"chancellor of Germany from 2005 to 2021"
Q157,"François Hollande",1954,1954,1,WIKIDATA,"President of France from 2012 to 2017 (born 1954)"
Q8440,"Hugo Chávez",1954,1954,1,WIKIDATA,"Venezuelan politician, 56th president of Venezuela (1954–2013)"
Q39259,"Recep Tayyip Erdoğan",1954,1954,1,WIKIDATA,"President of Turkey since 2014"
Q329,"Nicolas Sarkozy",1955,1955,1,WIKIDATA,"23rd president of the French Republic from 2007 to 2012"
Q182814,"Antarctic Treaty System",1959,1959,3,WIKIDATA,"international treaties concerning Antarctica"
Q76,"Barack Obama",1961,1961,1,WIKIDATA,"president of the United States from 2009 to 2017 (born 1961)"
Q193484,"assassination of John F. Kennedy",1963,1963,3,WIKIDATA,"1963 murder in Dallas, Texas, U.S"
Q10853588,"Kamala Harris",1964,1964,1,WIKIDATA,"Vice President of the United States from 2021 to 2025"
Q186444,"Treaty on the Non-Proliferation of Nuclear Weapons",1968,1968,3,WIKIDATA,"international treaty"
moon-landing,"The Moon Landing",July 20, 1969,1969,1,CURATED,"NASA"
Q317521,"Elon Musk",1971,1971,1,WIKIDATA,"businessman and entrepreneur (born 1971)"
Q318161,"Helsinki Accords",1975,1975,3,WIKIDATA,"1975 non-binding European and North American political agreement"
Q3052772,"Emmanuel Macron",1977,1977,1,WIKIDATA,"president of France and Co-Prince of Andorra since 2017"
Q3874799,"Volodymyr Zelenskyy",1978,1978,1,WIKIDATA,"President of Ukraine since 2019"
Q2822795,"Schengen Agreement",1985,1985,2,WIKIDATA,"treaty which led to the creation of Europe"
Q56039,"German reunification",1991,1991,2,WIKIDATA,"process in 1990 in which the German Democratic Republic became part of the Federal Republic of Germany"
Q106308,"European Charter for Regional or Minority Languages",1992,1992,3,WIKIDATA,"European treaty adopted in 1992"
Q838958,"Rome Statute of the International Criminal Court",1998,1998,3,WIKIDATA,"1998 international treaty establishing the International Criminal Court"
Q21707860,"Paris Agreement",2015,2015,2,WIKIDATA,"international agreement from 12 December 2015 within the United Nations Framework Convention on Climate Change (UNFCCC) dealing with greenhouse gas emissions mitigation, adaptation and finance starting in the year 2020"
